eta0,learning_rate,penalty,Train MSE,Test MSE,R2,Explained Variance
0.001,constant,l2,0.25754835308578694,0.21258906943047756,0.8910710269963741,0.8910714584581062
0.001,constant,l1,0.25754824234013995,0.2125919823974295,0.8910695344149383,0.8910699592128222
0.001,constant,elasticnet,0.25754832430121627,0.21258949528067175,0.8910708087940722,0.8910712392536834
0.001,optimal,l2,0.2628173755275151,0.21706393722101114,0.8887781398124013,0.8889887882429832
0.001,optimal,l1,0.2637403455167074,0.21801401399042206,0.8882913279220074,0.8882917315062983
0.001,optimal,elasticnet,0.263750343219059,0.2180193016333319,0.8882886185752225,0.8882890389905047
0.001,invscaling,l2,0.2820566116967248,0.2388263528421548,0.8776272486116452,0.8777128009395365
0.001,invscaling,l1,0.2821013100035052,0.23887107093051724,0.8776043354136475,0.877689984302422
0.001,invscaling,elasticnet,0.282063295972925,0.23883304220966084,0.8776238210321632,0.8777093878374618
0.001,adaptive,l2,0.2568801114125106,0.21255327729538728,0.8910893666058725,0.8911154735687056
0.001,adaptive,l1,0.25688005796038005,0.21255671908368126,0.8910876030605257,0.8911137104639053
0.001,adaptive,elasticnet,0.2568800910978304,0.2125537823871374,0.8910891078008184,0.8911152148318325
0.01,constant,l2,0.27458195165448723,0.22868327003187008,0.8828244847469507,0.8844149539778317
0.01,constant,l1,0.2706911265953728,0.22535707837897542,0.8845287992807773,0.886046877718541
0.01,constant,elasticnet,0.2741935334486379,0.22835493965448586,0.8829927186590242,0.8845926389679988
0.01,optimal,l2,0.2628173755275151,0.21706393722101114,0.8887781398124013,0.8889887882429832
0.01,optimal,l1,0.2637403455167074,0.21801401399042206,0.8882913279220074,0.8882917315062983
0.01,optimal,elasticnet,0.263750343219059,0.2180193016333319,0.8882886185752225,0.8882890389905047
0.01,invscaling,l2,0.2576643078227416,0.21275924313373235,0.8909838313245673,0.8909849042321617
0.01,invscaling,l1,0.2576650665836844,0.21276421320919006,0.8909812846968558,0.8909823612842558
0.01,invscaling,elasticnet,0.2576644102262484,0.2127599781782751,0.8909834546935045,0.8909845281526791
0.01,adaptive,l2,0.2568747563094555,0.21249215067722987,0.8911206874059348,0.8911454800558692
0.01,adaptive,l1,0.25687454974695517,0.21249527152669032,0.891119088307131,0.8911438747909217
0.01,adaptive,elasticnet,0.2568747110237941,0.2124925817080206,0.8911204665491359,0.8911452579298105
0.05,constant,l2,0.3033383820556816,0.2607179263733221,0.8664101779100716,0.8733445435883103
0.05,constant,l1,0.29046592644087815,0.24730304635082334,0.8732838572941168,0.8797685027902729
0.05,constant,elasticnet,0.2914306849492953,0.2483112982901616,0.8727672369026016,0.8794210396905591
0.05,optimal,l2,0.2628173755275151,0.21706393722101114,0.8887781398124013,0.8889887882429832
0.05,optimal,l1,0.2637403455167074,0.21801401399042206,0.8882913279220074,0.8882917315062983
0.05,optimal,elasticnet,0.263750343219059,0.2180193016333319,0.8882886185752225,0.8882890389905047
0.05,invscaling,l2,0.25990123814169863,0.2147327003671851,0.8899726473051702,0.890028906966404
0.05,invscaling,l1,0.2599208828069627,0.21475111328124752,0.8899632126723164,0.890019442179276
0.05,invscaling,elasticnet,0.2599043378630035,0.21473555926131832,0.889971182430223,0.8900274376796333
0.05,adaptive,l2,0.25687490801836,0.21251949269627193,0.8911066775696714,0.8911356533282085
0.05,adaptive,l1,0.25687471650945776,0.21252259143872723,0.8911050897983239,0.8911340602906123
0.05,adaptive,elasticnet,0.2568748665087434,0.21251993848383668,0.8911064491516172,0.891135424114054
0.1,constant,l2,0.5302696617816915,0.5051126247492715,0.7411842499122583,0.7715746743343342
0.1,constant,l1,0.36161144872962053,0.3212102020569125,0.8354144099596379,0.8504067860190755
0.1,constant,elasticnet,0.3796760835543388,0.34564300671256576,0.8228952323468449,0.8470048847739684
0.1,optimal,l2,0.2628173755275151,0.21706393722101114,0.8887781398124013,0.8889887882429832
0.1,optimal,l1,0.2637403455167074,0.21801401399042206,0.8882913279220074,0.8882917315062983
0.1,optimal,elasticnet,0.263750343219059,0.2180193016333319,0.8882886185752225,0.8882890389905047
0.1,invscaling,l2,0.26316575195558184,0.21801521886037992,0.8882907105560842,0.890818867685965
0.1,invscaling,l1,0.26591574066069545,0.2193886657178409,0.8875869671507479,0.8875873423153092
0.1,invscaling,elasticnet,0.2631638863182436,0.2180172059474279,0.8882896923882546,0.8908188124616693
0.1,adaptive,l2,0.2568747669736182,0.21251216888015015,0.8911104302356516,0.8911406388767464
0.1,adaptive,l1,0.256874589630393,0.21251527746173238,0.8911088374228125,0.8911390420840402
0.1,adaptive,elasticnet,0.256874727859855,0.21251258588500185,0.8911102165656339,0.8911404244815613
0.5,constant,l2,1.0030007625622718e+24,9.739371443648674e+23,-4.9903775951398813e+23,-1.0697374081310534e+23
0.5,constant,l1,9.743029153192987e+24,9.575070100919025e+24,-4.906190874841404e+24,-4.3795742591844205e+24
0.5,constant,elasticnet,5.419842187828344e+23,5.344907683818934e+23,-2.738688806331061e+23,-2.194360001514326e+23
0.5,optimal,l2,0.2628173755275151,0.21706393722101114,0.8887781398124013,0.8889887882429832
0.5,optimal,l1,0.2637403455167074,0.21801401399042206,0.8882913279220074,0.8882917315062983
0.5,optimal,elasticnet,0.263750343219059,0.2180193016333319,0.8882886185752225,0.8882890389905047
0.5,invscaling,l2,0.2706874929165341,0.22702334125929866,0.8836750192402799,0.8855020486468036
0.5,invscaling,l1,0.2672313809854067,0.22315583836093247,0.8856566974137448,0.88725799960789
0.5,invscaling,elasticnet,0.2672968270741483,0.2231991063134466,0.8856345272539902,0.8872768134967951
0.5,adaptive,l2,0.2568745203095022,0.2125071234317488,0.8911130154838687,0.8911391290427555
0.5,adaptive,l1,0.2568753983710928,0.21250763007523554,0.8911127558837169,0.8911403799199514
0.5,adaptive,elasticnet,0.2568747278724697,0.21251258539104675,0.8911102168187327,0.8911404247283691
